STD_NO	Marks
1	61
2	54
3	54
4	52
5	50
6	48
7	48
8	48
9	43
10	42
11	40
12	40
13	40
14	40
15	40
16	40
17	39
18	39
19	38
20	38
21	38
22	38
23	35
24	34
25	33
26	33
27	32
28	31
29	30
30	30
31	29
32	29
33	29
34	28
35	28
36	28
37	28
38	27
39	27
40	26
41	26
42	26
43	25
44	25
45	25
46	24
47	24
48	23
49	22
50	18
51	17
52	17
53	0
54	0
55	0
56	63
57	55
58	50
59	49
60	48
61	48
62	47
63	47
64	46
65	46
66	46
67	46
68	44
69	44
70	43
71	43
72	43
73	42
74	41
75	41
76	41
77	41
78	40
79	40
80	40
81	40
82	39
83	39
84	39
85	38
86	38
87	37
88	36
89	36
90	36
91	35
92	35
93	35
94	34
95	34
96	34
97	33
98	33
99	33
100	33
101	33
102	33
103	32
104	32
105	30
106	30
107	30
108	29
109	29
110	29
111	28
112	27
113	27
114	27
115	27
116	26
117	25
118	25
119	24
120	22
121	21
122	21
123	21
124	20
125	19
126	19
127	14
128	12
129	8
130	7
131	5
132	4
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	65
141	64
142	54
143	53
144	53
145	52
146	52
147	50
148	49
149	48
150	48
151	47
152	47
153	47
154	45
155	43
156	42
157	42
158	42
159	41
160	41
161	40
162	40
163	40
164	40
165	40
166	40
167	39
168	39
169	39
170	39
171	39
172	38
173	38
174	37
175	37
176	37
177	37
178	37
179	36
180	36
181	35
182	35
183	35
184	34
185	34
186	34
187	34
188	33
189	33
190	32
191	32
192	31
193	30
194	30
195	30
196	29
197	28
198	27
199	27
200	27
201	27
202	27
203	27
204	27
205	25
206	25
207	25
208	25
209	25
210	25
211	24
212	24
213	23
214	18
215	15
216	2
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
